id,comment,label
train_000000,dung dc sp tot cam on shop đóng gói sản phẩm đẹp chắc chắn chất lượng sản phẩm tuyệt vời,0
train_000001,chất lượng sản phẩm tuyệt vời son mịn đánh màu ảnh,0
train_000002,chất lượng sản phẩm tuyệt vời k hộp k dây giày đen k tất,0
train_000003,hơi thất vọng 1 chút kỳ vọng cuốn sách khá hi vọng nó nói về học tập cách sinh viên trường harvard sao nỗ lực họ thế nào 4h sáng sao họ thức dậy thời khắc đấy một câu sao thực ở câu ẩn dấu trong tự bản thân người cảm nhận đi sâu lòng người hơn còn cuốn sách đơn thuần cuốn sách dạy kĩ năng hầu sách nào có buồn,1
train_000004,lần mua áo gió màu hồng ok đợt giao 2 áo gió chất khác vải mưa ý,1
train_000005,chất lượng sản phẩm tuyệt vời cứng cáp cố định dáng nói chung đẹp hợp túi tiền,0
train_000006,nhận đc hàng nhanh mới đặt buổi tối trưa mai đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt,0
train_000007,siêu phẩm thấy cấu hình toàn tựa tựa nhau ko còn đột phá lớn nữa nâng cấp khác nhau về kiểu dáng htc vs giá thật lòng khó cạnh tranh mạnh vs siêu phẩm khác dành fan họ thôi,1
train_000008,hàng ship nhanh chất lượng tốt tư vấn nhiệt tình ship đung size ủng hộ shop nhìu,0
train_000009,đồng hồ đẹp 1 đứt dây 1 k chạy mua ve sửa,1
train_000010,chất lượng sản phẩm tuyệt vờiy hình chụpđáng tiền,0
train_000011,hjhj shop giao hàng nhanh quá đẹp lắm ạ bé nhà m thích,0
train_000012,nhìn đẹp phết nhỉ,0
train_000013,đóng gói đẹp chất lượng sản phẩm tốt chất lượng sản phẩm tuyệt vời,0
train_000014,săn đc giá 11k toẹt vời,0
train_000015,ok hài lòng,0
train_000016,giao thiếu shop tt,1
train_000017,chất lượng sản phẩm tuyệt vời tôi thích,0
train_000018,giày đẹp lắm dây hơi ngắn tí ạ chất lượng sản phẩm tuyệt vời,0
train_000019,yếm vải đẹp ít mẫu đẹp,0
train_000020,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt đáng tiền đáng tiền giao hàng hôm,0
train_000021,hài lòng sản phẩm lắm giặt lan đầu tiên da nhoe màu hết rồi,1
train_000022,giao hàng nhanh mặc đẹp cám ơn shop,0
train_000023,chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực bột à còn giao hành max nhanh luôn,0
train_000024,đồng hồ đẹp thật sao kim chạy đứng nhắn tin ko trả lời mấy bạn lưu ý đừng mua nữa,1
train_000025,giao hàng siêu nhanh đóng gói cẩn thận tư vấn nhiệt tình hạt thấm vị giòn,0
train_000026,cũng hơi bất tiện xu thế e đa phằn người dùng ưa thích,1
train_000027,toàn hàng trungkhi mua quên ko coi kĩ,1
train_000028,đóng gói sản phẩm đẹp chắc chắn shop tặng thêm quà,0
train_000029,hôm nay chiên thử cá hồi cá chiên ăn ngọt hơn chiên kiểu truyền thống giữ đc nước chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn,0
train_000030,máy cpu k skylake thấy hay rồi,1
train_000031,hàng vận chuyển nứt mẻ 1 gócchất lượng ok,0
train_000032,sạc tự động ngắt pin,0
train_000033,shop giao hàng kh giống màu,1
train_000034,shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối đặc biệt sản phẩm sai màu còn vỡ phần nắp chốt ko sd được chat shop ko tl đến khách nhấn hoàn hàng mới tl sơ sài ko đồng ý hoàn thất vọng về cách làm shop may shopee lấy công bằng hoàn tiền,1
train_000035,khong thay den sang,1
train_000036,giá chất lượng tuyệt vời capo khá chắc chắn đẹp,0
train_000037,cầm pin sử dụng chất lượng sản phẩm kém,1
train_000038,nước phát triển hàng trăm năm ai làm tầng ngầm đường cao tốc xe điện ngầm ngoại ô thành nổi tiết kiệm chi phí,1
